pid,Edad,Genero,idc1,idc2,idc3,idc4,idc5,idc6,idc7,idc8,idc9
5300,48,1,7,7,7,7,7,7,7,7,7
5067,23,2,6,6,6,4,5,6,4,6,5
5068,21,2,6,5,7,4,6,4,5,6,5
5069,24,2,4,6,7,4,6,6,7,6,4
5070,24,1,2,3,1,2,3,2,3,3,4
5072,41,2,6,6,7,6,5,5,5,6,7
5073,57,2,7,7,,7,7,7,7,7,7
5074,64,1,7,7,7,5,5,5,7,7,7
5075,20,2,7,7,7,5,6,4,7,7,7
5077,27,2,7,7,7,7,7,7,7,7,7
5078,31,1,1,1,1,1,2,4,1,1,1
5079,28,2,6,6,7,5,6,5,6,6,6
5080,49,2,6,6,7,6,6,5,5,6,6
5081,,2,7,7,7,7,7,7,7,7,7
5082,28,2,7,7,7,5,4,5,5,7,7
5083,62,2,7,7,7,7,6,7,7,7,7
5084,52,2,6,7,7,7,7,6,6,7,5
5085,26,1,7,7,7,7,6,5,6,6,6
5086,30,1,7,7,7,7,4,4,4,7,7
5089,53,1,7,7,7,7,7,7,7,7,7
5090,47,2,7,7,7,7,6,6,7,7,7
5030,47,2,6,7,7,7,7,7,7,6,6
5031,28,2,6,6,6,6,6,6,7,7,7
5032,32,2,7,7,7,7,7,7,7,7,7
5110,21,1,5,4,6,4,4,4,4,4,3
5142,30,1,4,4,4,4,3,3,4,4,4
5143,33,2,4,4,4,4,4,1,4,4,4
5144,43,1,2,3,3,3,2,1,3,3,1
5145,40,2,3,3,3,3,2,1,3,3,1
5234,41,2,7,7,7,6,5,6,7,7,5
5235,42,1,7,7,7,7,7,7,7,7,7
5236,42,2,7,7,7,1,1,1,7,7,6
5237,,,7,7,7,7,7,7,7,7,7
5238,38,1,7,7,7,7,7,7,7,7,7
5239,41,2,7,7,7,7,7,7,7,7,7
5240,38,2,7,7,7,7,7,7,7,7,7
5087,44,1,7,7,7,7,7,7,7,7,7
5189,39,2,7,7,7,5,7,6,6,7,7
5243,47,1,7,7,7,7,7,7,7,7,7
5256,54,2,6,5,7,6,6,6,6,6,6
5257,58,1,7,7,7,7,7,7,7,7,7
5258,46,1,7,7,7,7,7,7,7,7,7
5186,38,1,6,6,6,6,6,6,6,6,6
5188,48,2,7,7,7,7,7,7,7,7,7
5190,27,1,6,6,6,5,5,5,5,5,6
7001,22,2,6,6,7,6,6,4,4,6,4
7002,23,1,1,3,4,2,3,4,3,4,3
7003,21,1,4,6,7,2,5,1,6,5,4
7004,19,1,5,5,6,6,6,5,5,5,4
7005,23,2,1,4,6,1,1,1,6,4,1
7006,56,1,4,4,5,3,4,3,4,4,4
7007,46,2,6,6,6,5,5,5,5,5,5
7008,25,1,4,5,7,4,5,3,6,4,4
7009,31,1,6,6,7,4,4,1,7,6,4
7010,23,2,6,6,6,5,5,4,5,5,5
7011,24,1,6,3,6,5,5,5,5,5,3
7012,19,1,6,5,4,5,5,6,5,6,5
7013,23,1,5,5,6,4,5,4,4,5,5
7014,20,2,4,4,2,4,4,3,5,4,1
7015,20,2,7,7,7,7,7,7,7,7,7
7016,28,1,6,6,6,5,6,4,6,6,6
7017,26,2,6,5,7,5,5,1,4,5,2
7018,19,2,5,6,3,1,4,1,7,4,1
7019,19,2,6,6,6,5,5,3,7,5,1
7020,24,1,6,6,7,7,6,2,5,5,5
7021,22,2,7,5,7,2,3,3,7,5,3
7022,23,1,5,6,7,5,4,4,7,5,4
7023,22,1,5,5,5,4,5,4,5,5,4
7024,24,1,7,7,7,7,7,7,7,7,7
7025,18,2,7,7,7,7,7,6,7,7,7
7026,20,1,4,4,6,4,4,5,5,5,4
7027,19,2,5,5,7,5,5,2,6,5,4
7028,22,1,5,5,5,5,5,5,5,5,5
7029,19,1,7,7,7,7,7,6,6,7,7
7037,32,2,5,6,6,6,6,7,7,6,6
7038,30,1,7,7,7,7,7,5,6,7,4
7030,24,1,4,4,7,4,4,2,5,4,1
7039,54,1,6,6,6,6,6,6,6,6,5
7040,75,2,4,5,5,4,5,3,4,4,5
7041,48,2,5,5,5,5,5,4,5,5,5
7042,80,1,5,5,5,5,5,4,4,5,5
7043,45,1,6,6,6,6,6,5,5,5,5
7044,50,2,6,6,6,6,6,5,5,5,5
7045,72,1,5,5,5,5,5,5,5,6,5
7046,27,1,6,6,6,6,5,5,5,5,5
7049,32,2,6,6,6,5,5,6,6,6,6
7050,18,1,6,6,6,5,5,4,4,5,5
7051,40,2,5,5,5,4,5,3,4,4,4
7057,18,1,6,7,7,7,6,5,5,6,5
7058,18,1,3,4,7,3,4,4,7,6,6
7059,21,2,6,7,7,5,6,5,6,6,5
7060,22,2,5,5,5,4,4,4,5,5,5
7061,24,2,5,7,7,4,6,5,7,7,5
7062,18,1,5,2,4,6,1,6,4,1,2
7063,18,2,7,6,7,6,7,7,7,5,7
7064,18,2,6,5,5,6,5,5,5,5,5
7065,19,2,7,7,7,7,7,7,6,7,7
7066,18,1,7,7,7,4,5,4,6,6,6
7068,14,2,3,5,3,3,4,1,4,4,1
7069,19,2,2,2,1,3,1,3,4,2,2
7070,18,1,7,7,7,7,7,4,6,7,6
7071,18,2,6,6,7,5,6,5,4,6,2
7072,25,2,7,7,7,7,5,5,7,7,6
7073,19,2,6,6,6,5,5,4,6,6,4
7032,22,1,6,6,6,4,6,6,6,6,4
7148,22,1,7,4,7,7,4,4,4,5,4
7149,22,1,7,5,7,5,5,5,7,7,7
7150,24,1,6,6,7,7,7,5,6,6,4
7151,19,2,6,7,7,6,6,6,6,7,4
7152,25,2,5,5,6,6,5,5,7,7,7
7153,23,2,5,5,6,4,5,4,5,5,6
7154,24,2,7,7,7,7,7,4,7,7,7
7155,40,2,7,7,7,7,7,7,7,7,7
7156,31,1,7,7,7,7,6,7,7,7,7
7157,18,2,7,7,7,6,4,5,5,6,4
7158,22,1,6,6,6,6,5,5,5,5,4
7159,24,2,5,5,4,4,5,3,6,3,4
7160,21,2,5,6,6,5,5,5,6,6,6
7118,24,1,4,4,4,5,5,4,6,4,3
7119,25,1,6,6,7,6,6,6,6,6,6
7120,21,2,6,6,6,6,3,3,6,4,3
7121,27,2,4,4,4,4,4,4,4,4,4
7122,23,2,3,4,5,5,4,4,4,4,4
7123,18,2,6,6,6,6,6,5,6,6,6
7124,18,1,6,6,6,6,6,5,6,6,6
7125,36,2,6,6,5,5,5,5,5,5,5
7126,50,2,5,5,5,4,4,4,5,5,4
7127,41,2,6,5,6,5,5,4,5,4,5
7128,61,2,6,6,6,5,6,6,4,5,4
7129,51,2,5,5,5,5,5,5,5,5,5
7130,58,1,5,4,4,4,4,4,4,4,4
7131,24,2,4,3,4,3,4,3,4,4,4
7132,54,1,6,5,5,5,5,5,5,5,5
7133,18,2,5,5,5,5,5,5,5,5,5
7134,20,1,5,5,5,5,5,5,5,5,5
7135,23,2,5,5,5,5,4,4,5,5,5
7136,19,2,6,6,6,6,6,6,7,7,6
7137,18,2,5,6,7,5,3,4,5,4,1
7138,18,2,1,2,7,1,3,1,3,1,1
7139,18,2,4,5,4,4,3,2,5,4,1
7140,29,2,5,5,5,4,5,4,4,5,5
7141,25,1,5,5,5,5,5,5,5,5,5
7142,19,2,5,5,5,5,5,5,5,5,5
7143,20,1,5,5,5,5,5,5,5,5,5
7144,32,2,5,5,5,5,5,5,5,5,5
7145,22,1,6,5,5,5,5,5,5,5,5
7146,26,2,5,5,5,5,5,4,5,6,4
7147,20,2,6,6,6,5,5,5,5,5,5
7088,65,1,7,7,7,7,7,4,6,6,4
7089,54,2,6,6,6,6,6,6,6,6,5
7090,25,1,6,6,6,4,5,4,5,5,4
7091,30,2,7,7,7,7,7,4,4,7,4
7092,53,2,6,6,6,6,6,4,6,6,5
7093,59,1,6,7,7,6,6,4,6,6,6
7094,63,2,7,7,7,7,7,7,7,6,6
7095,66,2,5,3,5,2,3,1,1,3,2
7096,35,1,6,6,6,6,6,4,6,6,5
7031,27,2,6,6,7,4,6,4,7,7,4
7097,36,2,7,7,7,5,6,5,7,7,7
7098,22,2,7,6,6,6,6,6,6,6,6
7099,18,1,5,5,5,4,4,5,5,5,5
7100,49,2,6,6,5,6,5,6,7,6,6
7101,22,2,6,6,7,6,5,4,7,6,
7102,23,1,3,7,6,5,5,5,7,4,3
7103,23,1,7,7,7,6,6,5,4,6,6
7104,23,1,5,4,7,6,5,6,7,5,4
7105,28,2,7,5,7,7,6,5,6,6,6
7106,55,2,5,6,6,5,6,5,5,6,6
