pid,age,sex,idm1,idm2,idm3,idm4,idm5,idm6,idm7,idm8,idm9
1200,22,1,4,4,4,4,4,4,4,4,4
2001,51,1,5,5,5,5,5,4,5,5,5
2002,18,0,5,4,5,3,3,2,3,4,3
2003,56,0,5,5,5,5,4,5,5,4,5
2004,53,0,5,4,5,5,5,5,5,5,5
2005,57,1,5,5,5,5,5,5,5,5,5
2006,18,1,4,4,5,3,4,3,4,4,4
2007,55,1,5,5,5,5,5,5,5,5,5
2008,25,1,5,5,5,5,3,5,5,5,5
2009,38,0,5,5,5,5,5,5,5,5,3
2010,25,1,3,3,3,2,2,2,2,3,2
2011,23,1,4,4,4,4,4,4,4,4,5
2012,21,1,5,5,5,5,5,5,5,4,5
2014,51,1,5,5,5,5,5,3,5,5,5
2015,79,0,5,5,5,5,5,3,5,5,5
2016,72,1,5,5,5,5,5,3,5,5,5
2017,24,0,5,5,5,5,5,3,5,5,5
2018,18,0,5,4,5,3,3,2,3,4,3
2018,52,0,5,5,5,5,5,3,5,5,5
2021,22,1,5,5,5,5,5,5,5,5,3
2022,24,1,3,4,4,2,2,2,2,4,2
2023,22,1,5,4,5,5,4,3,4,4,3
2024,24,1,4,4,4,4,4,3,4,4,3
2025,54,0,5,5,5,5,5,4,4,5,3
2026,20,0,1,1,5,5,4,3,4,4,3
2027,22,1,1,3,3,1,1,1,3,2,1
2028,23,1,4,4,4,4,4,3,4,4,3
2029,56,1,5,5,5,5,5,5,5,5,4
2030,39,0,5,5,5,5,5,5,5,5,5
2031,46,1,5,5,5,5,5,4,5,5,5
2032,52,0,5,5,5,5,5,4,4,5, 
2032,52,0,5,5,5,5,5,4,4,5, 
2033,39,1,5,4,5,5,3,4,4,5,5
2034,33,0,1,1,3,1,1,2,1,1,1
2035,19,1,5,5,5,5,5,4,5,5,5
2036,36,1,5,4,4,4,4,3,3,4,5
2037,41,0,5,4,5,4,4,3,5,4,5
2038,22,1,5,4,5,5,5,4,4,4,5
2039,44,0,5,4,5,4,4,5,5,4,4
2040,52,0,5,5,5,5,5,5,5,5, 
2041,50,0,5,5,5,5,5,5,4,5,4
2043,25,1,3,5,2,1,2,1,4,3,1
2044,23,1,3,4,4,3,3,3,3,4,1
2045,24,1,5,5,5,5,5,5,4,4,5
2047,23,1,4,4,5,4,3,5,5,3,2
2049,24,0,3,5,5,4,3,3,3,3,1
2050,21,0,5,5,5,5,5,3,5,5,2
2051,22,1,1,1,1,1,1,1,1,1,1
2052,21,1,5,5,5,5,5,4, ,5,4
2054,54,0,5,5,5,5,5,4,5,5, 
