est,fol,pid,sex,age,id1,id2,id3,id4,id5,id6,id7,id8,id9
140000,40,140040,0,33,3,5,5,3,3,3,4,3,3
140000,41,140041,1,31,4,5,5,5,5,4,4,5,5
140000,42,140042,1,29,5,4,5,5,5,5,4,5,4
140000,43,140043,0,42,5,5,5,5,4,3,4,5,3
140000,44,140044,1,41,5,5,5,5,5,5,5,5,5
140000,45,140045,1,45,5,5,5,5,5,5,5,5,5
140000,46,140046,1,46,5,5,5,5,5,5,5,5,5
140000,47,140047,0,42,5,5,5,5,5,5,4,3,3
140000,48,140048,1,42,4,4,4,4,4,3,4,4,3
140000,49,140049,1,37,5,5,5,5,5,5,5,5,1
140000,50,140050,1,37,3,3,3,4,3,3,3,3,3
140000,51,140051,1,41,5,5,5,5,3,3,5,5,5
140000,52,140052,0,40,4,4,4,4,4,4,4,4,4
140000,53,140053,0,32,5,5,5,5,5,5,5,5,5
140000,54,140054,0,38,5,5,5,5,5,4,5,5,3
140000,55,140055,1,31,4,4,4,4,4,4,4,4,4
140000,56,140056,1,57,4,5,5,4,5,4,5,5,4
140000,57,140057,1,30,1,1,1,1,1,1,1,1,3
140000,58,140058,0,29,5,5,5,5,4,4,5,5,3
140000,59,140059,0,39,5,5,5,5,5,5,5,5,5
140000,60,140060,0,40,5,5,5,4,4,4,5,5,3
140000,61,140061,0,36,5,4,5,5,3,3,4,5,3
140000,62,140062,0,33,3,3,5,5,5,3,5,5,3
140000,64,140064,1,21,4,4,4,4,4,4,4,4,4
140000,65,140065,1,27,5,4,5,5,4,4,4,5,5
140000,66,140066,0,29,4,3,4,3,3,2,4,3,2
140000,67,140067,1,55,5,5,5,3,3,3,5,4,3
140000,68,140068,0,61,5,5,5,5,5,5,5,5,5
140000,69,140069,0,69,5,4,5,4,4,4,4,5,4
140000,71,140071,0,26,3,3,2,3,3,2,3,3,3
140000,72,140072,0,33,4,3,4,3,2,2,3,2,3
140000,73,140073,1,36,5,3,5,3,4,3,5,4,4
140000,74,140074,1,28,3,3,5,4,4,3,4,4,3
140000,75,140075,1,30,5,5,5,5,5,5,5,5,4
140000,76,140076,1,29,1,3,1,1,3,1,3,1,1
140000,77,140077,0,23,4,4,5,4,4,3,3,4,3
140000,78,140078,0,49,4,4,4,4,4,4,4,4,4
140000,79,140079,1,32,5,5,5,5,5,3,5,5,3
140000,80,140080,1,21,3,3,4,3,3,2,4,3,2
140000,81,140081,0,21,5,5,5,4,3,4,3,4,4
140000,82,140082,1,21,3,3,4,3,4,4,4,3,3
140000,83,140083,1,27,3,3,5,3,3,3,5,3,3
140000,84,140084,0,24,5,2,3,3,3,3,4,4,2
140000,85,140085,0,21,3,3,4,4,3,3,4,3,1
140000,86,140086,1,21,3,3,4,3,3,4,4,3,3
